Rank, Site, System, Cores, Rmax (TFlop/s), Rpeak (TFlop/s), Power (kW),Country
415,Internet Service (B)China,Internet Company B L1 - Lenovo x3650 Xeon E5-2680v4 14C 2.4GHz 10G Ethernet                    Lenovo,44800,802.1,1720.3,,China
416,IT Service Provider (L)China,Sugon I620 Xeon E5-2650v3 10C 2.3GHz 10G Ethernet                    Sugon,44000,801.6,1619.2,660,China
417,Westfälische Wilhelms-Universität MünsterGermany,PALMA II - MEGWARE MiriQuid Xeon Gold 6140 18C 2.3GHz Intel Xeon E5-2683v4 Intel Omni-Path                    MEGWARE,17352,800.3,1277.1,214,Germany
418,Internet CompanyChina,onhelper-system - Sugon I620 Xeon E5-2650v3 10C 2.3GHz NVIDIA Tesla P40 10G Ethernet                    Sugon,176000,798.6,1619.2,1100,China
419,High Energy Accelerator Research Organization /KEKJapan,Suiren2 - ZettaScaler-2.2 Xeon D-1571 16C 1.3GHz Infiniband EDR PEZY-SC2                    PEZY Computing / Exascaler Inc.,762624,798,1082.6,47,Japan
420,National Supercomputing Center in JinanChina,Sunway Blue Light - Sunway BlueLight MPP ShenWei processor SW1600 975.00 MHz Infiniband QDR                    National Research Center of Parallel Computer Engineering & Technology,137200,795.9,1070.2,1074,China
421,Service Provider TChina,Internet Company T R1 - Lenovo RD450 Xeon E5-2670v3 12C 2.3GHz 10G Ethernet                    Lenovo,43200,794.6,1589.8,,China
422,Purdue UniversityUnited States,Brown - PowerEdge R640 Xeon Gold 6126 12C 2.6GHz Infiniband EDR                    Dell EMC,12960,793.2,1078.3,240,United States
423,Service Provider TChina,Internet Company T S1 - Lenovo RD450 Xeon E5-2630v4 10C 2.2GHz 10G Ethernet                    Lenovo,46000,793.1,1619.2,,China
424,Max-Planck-Gesellschaft MPI/IPPGermany,DRACO - Lenovo NeXtScale nx360M5 Xeon E5-2698v3 16C 2.3GHz Infiniband FDR                    Lenovo,28128,790.7,1035.1,,Germany
425,Network CompanyChina,Internet Company N D1 - Lenovo RD350 Xeon E5-2630v4 10C 2.2GHz 10G Ethernet                    Lenovo,45600,788.4,1605.1,,China
426,Internet Company AChina,Internet Company A Q1 - Lenovo x3650 Xeon E5-2690v4 14C 2.6GHz 10G Ethernet                    Lenovo,39200,788.2,1630.7,,China
427,Internet Service (B)China,Sugon TC6000 Xeon E5-2630v4 10C 2.2GHz 10G Ethernet                    Sugon,46000,788.2,1619.2,1076,China
428,University (A)China,Huawei X6800 V3 Xeon E5-2683 v4  16C 2.1GHz Infiniband EDR                    Huawei Technologies Co. Ltd.,28160,787.1,946.2,358,China
429,Software Company (M)United States,Cluster Platform DL360 Xeon E5-2673v3 12C 2.4GHz 10G Ethernet                    HPE,34560,785.3,1327.1,,United States
430,Software Company (M)Netherlands,Cluster Platform DL360 Xeon E5-2673v3 12C 2.4GHz 10G Ethernet                    HPE,34560,785.3,1327.1,,Netherlands
431,Software Company (M)Netherlands,Cluster Platform DL360 Xeon E5-2673v3 12C 2.4GHz 10G Ethernet                    HPE,34560,785.3,1327.1,,Netherlands
432,Software Company (M)United States,Cluster Platform DL360 Xeon E5-2673v3 12C 2.4GHz 10G Ethernet                    HPE,34560,785.3,1327.1,,United States
433,Stanford Research Computing CenterUnited States,XStream - Cray CS-Storm Intel Xeon E5-2680v2  10C 2.8GHz Infiniband FDR Nvidia K80                    Cray Inc.,14820,781.3,1001.7,190,United States
434,Internet Service AChina,Inspur TS10000 Xeon E5-2682v4 16C 2.5GHz 10G Ethernet NVIDIA Tesla P100                    Inspur,17920,779.2,1422.4,,China
435,Network CompanyChina,Internet Company N D2 - Lenovo RD350 Xeon E5-2630v4 10C 2.2GHz 10G Ethernet                    Lenovo,45000,777.7,1584,,China
436,University of Tokyo/Institute for Solid State PhysicsJapan,Sekirei-ACC - SGI ICE XA Xeon E5-2680v3 12C 2.5GHz Infiniband FDR Nvidia K40                    HPE,15552,777.4,1100.2,255,Japan
437,Lawrence Livermore National LaboratoryUnited States,Zin - Xtreme-X GreenBlade GB512X Xeon E5 (Sandy Bridge - EP) 8C 2.60GHz Infiniband QDR                    Cray Inc.,46208,773.7,961.1,924,United States
438,National Super Computer Center in HunanChina,Tianhe-1A Hunan Solution - NUDT YH MPP Xeon X5670 6C 2.93 GHz Proprietary NVIDIA 2050                    NUDT,53248,771.7,1342.8,1155,China
439,Qingdao National Laboratory for Marine Science and TechnologyChina,Inspur TS10000 Xeon E5-2690v3 12C 2.6GHz/Xeon E5-2690v4 Intel Omni-Path                    Inspur,23920,771.3,1030.2,162,China
440,National Institute for Environmental StudiesJapan,Research Computation Facility for GOSAT-2 (RCF2) - SGI Rackable C1104-GP1 Xeon E5-2650v4 12C 2.2GHz Infiniband EDR NVIDIA Tesla P100                    NSSOL/HPE,16320,770.4,1243.8,79,Japan
441,Research (B)China,Research - Sugon TC6000 Xeon Gold 6132 14C 2.6GHz Intel Omni-Path                    Sugon,12880,769.2,1071.6,184,China
442,Karlsruher Institut für Technologie (KIT) Germany,ForHLR II - Lenovo NeXtScale nx360M5 Xeon E5-2660v3 10C 2.6GHz Infiniband EDR/FDR                    Lenovo,22960,768.3,955.1,435,Germany
443,Service Provider TChina,Internet Company T T1 - Lenovo RD450 Xeon E5-2680v4 14C 2.4GHz 10G Ethernet                    Lenovo,40320,768,1548.3,,China
444,AWEUnited Kingdom,Spruce B - SGI ICE X Intel Xeon E5-2680v2  10C 2.8GHz Infiniband FDR                    HPE,35640,767.5,798.3,685,United Kingdom
445,Service Provider TChina,Internet Company T U1 - Lenovo RD450 Xeon E5-2670v3 12C 2.3GHz 10G Ethernet                    Lenovo,40800,765.6,1501.4,,China
446,Service Provider TChina,Internet Company T U2 - Lenovo RD450 Xeon E5-2670v3 12C 2.3GHz 10G Ethernet                    Lenovo,40800,765.6,1501.4,,China
447,Petroleum CompanyChina,Huawei RH2288H V3 Cluster Xeon E5-2680v4 14C 2.4GHz Infiniband FDR                    Huawei Technologies Co. Ltd.,26880,763.8,1032.2,374,China
448,Sandia National LaboratoriesUnited States,SNL CTS-1 Dark Ghost - Tundra Extreme Scale Xeon E5-2695v4 18C 2.1GHz Intel Omni-Path                    Penguin Computing Inc.,25920,761.8,870.9,320,United States
