Rank, Site, System, Cores, Rmax (TFlop/s), Rpeak (TFlop/s), Power (kW),Country
146,Internet Service AChina,Inspur NF5280M Xeon E5-2682v4 16C 2.5GHz NVIDIA Tesla P100 25G Ethernet                    Inspur,31680,1352,2332,,China
147,Simon Fraser University/Compute CanadaCanada,Cedar - Dell C4130/Dell C6320 Xeon E5-2650v4/E5-2683-v4 Intel Omni-Path NVIDIA Tesla P100                    Dell EMC,59776,1337,3710.5,167,Canada
148,National Center for High Performance ComputingTaiwan,Taiwania - PRIMERGY CX2550 M4/CX2560 M4/CX2570 M4 Xeon Gold 6148 20C 2.4GHz Intel Omni-Path                    Fujitsu,27200,1325.2,2089,332,Taiwan
149,Service Provider TChina,Internet Company T EE1 - Lenovo HR650x Xeon Gold 6133 20C 2.5GHz 25G Ethernet                    Lenovo,30000,1319.5,2400,,China
150,Service Provider TChina,Internet Company T EE2 - Lenovo HR650x Xeon Gold 6133 20C 2.5GHz 25G Ethernet                    Lenovo,30000,1319.5,2400,,China
151,CEA/TGCC-GENCIFrance,JOLIOT-CURIE KNL - Bull Sequana X1000 Intel Xeon Phi 7250 68C 1.4GHz Bull BXI 1.2                    Bull Atos Group,56304,1311.3,2339.6,326,France
152,GovernmentChina,AIGIS - Sugon Cluster W780I Xeon E5-2630v4 10C 2.2GHz NVIDIA Tesla P100 Infiniband FDR                    Sugon,24400,1307,1950.4,300,China
153,Commissariat a l'Energie Atomique (CEA)/CCRTFrance,Cobalt - bullx DLC 720 Xeon E5-2680v4 14C 2.4GHz Infiniband EDR                    Bull Atos Group,38528,1299.5,1479.5,539,France
154,Navy DSRCUnited States,Gordon - Cray XC40 Xeon E5-2698v3 16C 2.3GHz Aries interconnect  Intel Xeon Phi 5120D                    Cray Inc.,61256,1285.6,2049.6,2324,United States
155,Navy DSRCUnited States,Conrad - Cray XC40 Xeon E5-2698v3 16C 2.3GHz Aries interconnect  Intel Xeon Phi 5120D                    Cray Inc.,61256,1285.6,2049.6,2324,United States
156,Max-Planck-Gesellschaft MPI/IPPGermany,iDataPlex DX360M4 Intel Xeon E5-2680v2  10C 2.800GHz Infiniband FDR                    Lenovo/IBM,65320,1283.3,1463.2,1260,Germany
157,Internet Service AChina,Inspur SA5212M4 Xeon E5-2682v4 16C 2.5GHz 10G Ethernet                    Inspur,66560,1276,2662.4,,China
158,National Supercomputing Centre in Shenzhen (NSCS)China,Nebulae - Dawning TC3600 Blade System Xeon X5650 6C 2.66GHz Infiniband QDR NVIDIA 2050                    Sugon,120640,1271,2984.3,2580,China
159,Internet Service AChina,Inspur SA5212M4 Xeon E5-2682v4 16C 2.5GHz 10G Ethernet                    Inspur,65280,1271,2611.2,,China
160,Internet Service AChina,Inspur SA5212M4 Xeon E5-2682v4 16C 2.5GHz 10G Ethernet                    Inspur,64000,1269,2560,,China
161,Internet Service AChina,Inspur SA5212M4 Xeon E5-2682v4 16C 2.5GHz 10G Ethernet                    Inspur,64000,1269,2560,,China
162,National Center for Atmospheric Research (NCAR)United States,Yellowstone - iDataPlex DX360M4 Xeon E5-2670 8C 2.600GHz Infiniband FDR                    IBM,72288,1257.6,1503.6,1437,United States
163,CSC (Center for Scientific Computing)Finland,Sisu - Cray XC40 Xeon E5-2690v3 12C 2.6GHz Aries interconnect                     Cray Inc.,40608,1250,1689.3,680,Finland
164,Internet Service (B)China,CTRtraning - Sugon I620 Xeon E5-2650v4 12C 2.2GHz 10G Ethernet                    Sugon,72000,1242,2534.4,900,China
165,Computer Network Information Center Chinese Academy of ScienceChina,Era-AI - Sugon Cluster W780I Xeon E5-2650v4 12C 2.2GHz NVIDIA Tesla P100 Infiniband FDR                    Sugon,22656,1238,1845.4,144,China
166,SharcNetCanada,Graham - Huawei X6800 V3 Xeon E5-2683 v4  16C 2.1GHz Infiniband EDR/FDR NVIDIA Tesla P100                    Huawei Technologies Co. Ltd.,51200,1228,2641.4,546,Canada
167,AtosFrance,Diego - bullx DLC 720 Xeon E5-2698v4 20C 2.2GHz Infiniband FDR                    Bull Atos Group,46800,1225.3,1647.4,472,France
168,Sandia National LaboratoriesUnited States,SNL/NNSA CTS-1 Serrano - Tundra Extreme Scale Xeon E5-2695v4 18C 2.1GHz Intel Omni-Path                    Penguin Computing Inc.,40392,1223.7,1357.2,480,United States
169,Sandia National LaboratoriesUnited States,SNL/NNSA CTS-1 Cayenne - Tundra Extreme Scale Xeon E5-2695v4 18C 2.1GHz Intel Omni-Path                    Penguin Computing Inc.,40392,1223.7,1357.2,480,United States
170,Deutscher WetterdienstGermany,Cray XC40 E5-2680v3 12C 2.5Ghz/Xeon E5-2695v4 18C 2.1GHz Aries interconnect                     Cray Inc.,41472,1214.2,1459.8,528,Germany
171,Center for Advanced Intelligence Project RIKENJapan,RAIDEN GPU subsystem - NVIDIA DGX-1 Volta36 Xeon E5-2698v4 20C 2.2GHz Infiniband EDR NVIDIA Tesla V100                    Fujitsu,35360,1213,3244.8,107,Japan
172,Main Computer Center of RoshydrometRussia,Cray XC40 Xeon E5-2697v4 18C 2.3GHz Aries interconnect                     Cray Inc./T-Platforms,35136,1200.3,1293,,Russia
173,University of CambridgeUnited Kingdom,Wilkes-2 - Dell C4130 Xeon E5-2650v4 12C 2.2GHz Infiniband EDR NVIDIA Tesla P100                    Dell EMC,21240,1193,1751.6,114,United Kingdom
174,Internet Service AChina,Inspur SA5212H5 Xeon E5-2682v4 16C 2.5GHz NVIDIA Tesla P100 25G Ethernet                    Inspur,28800,1188,2120,,China
175,Internet Service AChina,Inspur SA5212H5 Xeon E5-2682v4 16C 2.5GHz NVIDIA Tesla P100 25G Ethernet                    Inspur,28800,1188,2120,,China
176,Internet Service AChina,Inspur SA5212H5 Xeon E5-2682v4 16C 2.5GHz NVIDIA Tesla P100 25G Ethernet                    Inspur,24960,1182,2204.8,,China
177,Internet Service AChina,Inspur SA5212H5 Xeon E5-2682v4 16C 2.5GHz NVIDIA Tesla P100 25G Ethernet                    Inspur,24960,1182,2204.8,,China
178,Manufacturing CompanyUnited States,Apollo 6000 XL230k Xeon Gold 6142 16C 2.6GHz Infiniband EDR                    HPE,23808,1181.1,1980.8,,United States
179,Lawrence Livermore National LaboratoryUnited States,LLNL/NNSA CTS-1 Nel - Tundra Extreme Scale Xeon E5-2695v4 18C 2.1GHz Intel Omni-Path                    Penguin Computing Inc.,39744,1179.6,1335.4,485,United States
180,University of Tokyo/Institute for Solid State PhysicsJapan,Sekirei - SGI ICE XA Xeon E5-2680v3 12C 2.5GHz Infiniband FDR                    HPE,38016,1178.3,1520.6,581,Japan
181,Internet Service AChina,Inspur SA5212H5 Xeon E5-2682v4 16C 2.5GHz NVIDIA Tesla P100 25G Ethernet                    Inspur,12800,1171,2120,,China
182,Internet Service AChina,Inspur SA5212H5 Xeon E5-2682v4 16C 2.5GHz NVIDIA Tesla P100 25G Ethernet                    Inspur,12800,1171,2120,,China
183,ERDC DSRCUnited States,Garnet - Cray XE6 Opteron 16C 2.500GHz Cray Gemini interconnect                    Cray Inc.,150528,1167,1505.3,5569,United States
184,Internet CompanyChina,Inspur TS10000 Xeon Gold 6130 16C 2.1GHz NVIDIA Tesla V100 Infiniband EDR                    Inspur,26880,1161,2400,,China
185,Service Provider TChina,Internet Company T CC1 - Lenovo RD450 Xeon E5-2670v3 12C 2.3GHz 10G Ethernet                    Lenovo,64320,1156.5,2367,,China
186,Internet Service AChina,Inspur NF5280M Xeon E5-2682v4 16C 2.5GHz NVIDIA Tesla P100 25G Ethernet                    Inspur,28800,1152,2544,,China
187,Service Provider TChina,Lenovo RD450 Xeon E5-2670v3 12C 2.3GHz 10G Ethernet                    Lenovo,78000,1149.6,2870.4,2438,China
188,Service Provider TChina,Internet Company T DD1 - Lenovo RD350 Xeon E5-2620v4 8C 2.1GHz 10G Ethernet                    Lenovo,75776,1145.2,2546.1,,China
189,Los Alamos National LaboratoryUnited States,LANL/NNSA CTS-1 Ice - Tundra Extreme Scale Xeon E5-2695v4 18C 2.1GHz Intel Omni-Path                    Penguin Computing Inc.,39672,1144.8,1333,486,United States
190,Los Alamos National LaboratoryUnited States,LANL/NNSA CTS-1 Fire - Tundra Extreme Scale Xeon E5-2695v4 18C 2.1GHz Intel Omni-Path                    Penguin Computing Inc.,39672,1144.8,1333,486,United States
191,Sandia National LaboratoriesUnited States,SNL/NNSA CTS-1 Eclipse - Tundra Extreme Scale Xeon E5-2695v4 18C 2.1GHz Intel Omni-Path                    Penguin Computing Inc.,41256,1142.4,1156.8,480,United States
192,Internet Service AChina,Inspur SA5212M4 Xeon E5-2682v4 16C 2.5GHz 10G Ethernet                    Inspur,59520,1128,2380.8,,China
193,Internet Service AChina,Inspur SA5212M4 Xeon E5-2682v4 16C 2.5GHz 10G Ethernet                    Inspur,59520,1128,2380.8,,China
194,Internet Service AChina,Inspur NF5280M Xeon E5-2682v4 16C 2.5GHz NVIDIA Tesla P100 25G Ethernet                    Inspur,28800,1128,2120,,China
195,Internet Service AChina,Inspur NF5280M Xeon E5-2682v4 16C 2.5GHz NVIDIA Tesla P100 10G Ethernet                    Inspur,28800,1128,2120,,China
196,Internet Service AChina,Inspur NF5280M Xeon E5-2682v4 16C 2.5GHz NVIDIA Tesla P100 25G Ethernet                    Inspur,28800,1128,2120,,China
197,Service Provider TChina,Internet Company T BB1 - Lenovo RD450 Xeon E5-2670v3 12C 2.3GHz 10G Ethernet                    Lenovo,62400,1127.5,2296.3,,China
198,Internet Service (B)China,data-ML - Sugon I620 Xeon E5-2650v4 12C 2.2GHz 10G Ethernet                    Sugon,64800,1124,2281,1620,China
199,Cloud ProviderBrazil,BC1 - Lenovo C1040 Xeon E5-2673v4 20C 2.3GHz 40G Ethernet                    Lenovo,38400,1123.2,1413.1,,Brazil
200,Cloud ProviderAustralia,AC1 - Lenovo C1040 Xeon E5-2673v4 20C 2.3GHz 40G Ethernet                    Lenovo,38400,1123.2,1413.1,,Australia
201,Software CompanyKorea South,KC1 - Lenovo C1040 Xeon E5-2673v4 20C 2.3GHz 40G Ethernet                    Lenovo,38400,1123.2,1413.1,,Korea South
202,Software Company (M)United Kingdom,UKC3 - Lenovo C1040 Xeon E5-2673v4 20C 2.3GHz 40G Ethernet                    Lenovo,38400,1123.2,1413.1,,United Kingdom
203,Software Company (M)United Kingdom,UKC1 - Lenovo C1040 Xeon E5-2673v4 20C 2.3GHz 40G Ethernet                    Lenovo,38400,1123.2,1413.1,,United Kingdom
204,Software Company (M)United Kingdom,UKC4 - Lenovo C1040 Xeon E5-2673v4 20C 2.3GHz 40G Ethernet                    Lenovo,38400,1123.2,1413.1,,United Kingdom
205,Software Company (M)United Kingdom,UKC2 - Lenovo C1040 Xeon E5-2673v4 20C 2.3GHz 40G Ethernet                    Lenovo,38400,1123.2,1413.1,,United Kingdom
206,Software Company (M)India,InC1 - Lenovo C1040 Xeon E5-2673v4 20C 2.3GHz 40G Ethernet                    Lenovo,38400,1123.2,1413.1,,India
207,NOAAUnited States,Mars - PowerEdge C6320 Xeon E5-2690v4 14C 2.6GHz Infiniband EDR                    Dell EMC / IBM-GBS,33600,1121.1,1397.8,,United States
208,NOAAUnited States,Venus - PowerEdge C6320 Xeon E5-2690v4 14C 2.6GHz Infiniband EDR                    Dell EMC / IBM-GBS,33600,1121.1,1397.8,,United States
209,Telecom CompanyChina,CT-1 - Sugon TC6000 Xeon E5-2630v4 10C 2.2GHz 10G Ethernet                    Sugon,66000,1121,2323.2,,China
210,Internet CompanyChina,PVideo-C - Sugon I620 Xeon E5-2620v4 8C 2.1GHz 10G Ethernet                    Sugon,67200,1108,2257.9,1050,China
211,Internet Service AChina,Inspur SA5212M4 Xeon E5-2682v4 16C 2.5GHz 10G Ethernet                    Inspur,57600,1106,2304,,China
212,Internet Service AChina,Inspur SA5212M4 Xeon E5-2682v4 16C 2.5GHz 10G Ethernet                    Inspur,57600,1106,2304,,China
213,Energy Company (DD)United States,Dell C4130 Xeon E5-2630v3 8C 2.4GHz Infiniband FDR NVIDIA Tesla K80                    Dell EMC,25920,1106,1748.4,3564,United States
214,Internet CompanyChina,MLSystem - Sugon I620 Xeon E5-2630v4 10C 2.2GHz 10G Ethernet                    Sugon,64000,1102,2252.8,960,China
215,Internet Company AChina,Lenovo ThinkServer RD650 Xeon E5-2680v3 12C 2.5GHz 10G Ethernet                    Lenovo,84000,1101.6,3360,2625,China
216,Internet Company AChina,Lenovo ThinkServer RD650 Xeon E5-2680v3 12C 2.5GHz 10G Ethernet                    Lenovo,84000,1101.6,3360,2625,China
217,Pawsey Supercomputing Centre Kensington Western AustraliaAustralia,Magnus - Cray XC40 Xeon E5-2690v3 12C 2.6GHz Aries interconnect                     Cray Inc.,35712,1097.6,1485.6,698,Australia
218,SURFsaraNetherlands,Cartesius 2 - Bullx DLC B710/B720 Blades Xeon E5-2695 v2 2.4GHz E5-2690v3 2.6GHz Infiniband FDR                    Bull Atos Group,38880,1088.5,1327.1,706,Netherlands
219,Idaho National LaboratoryUnited States,Falcon - SGI ICE X Xeon E5-2695v4 18C 2.1GHz Infiniband FDR                    HPE,34884,1087.6,1172.1,354,United States
220,IT Service ProviderUnited States,HP Apollo XL7x0f Xeon E5-2697v3 14C 2.6GHz Infiniband FDR                    HPE,36288,1085.5,1509.6,,United States
221,Institute of Atmospheric Physics Chinese Academy of SciencesChina,PreEarthSim - Sugon TC4600 Xeon Gold 6132 14C 2.6GHz Intel Omni-Path                    Sugon,19264,1075,1602.8,344,China
222,CNRS/IDRIS-GENCIFrance,Turing - BlueGene/Q Power BQC 16C 1.60GHz Custom                    IBM,98304,1073.3,1258.3,493,France
223,University of EdinburghUnited Kingdom,DiRAC - BlueGene/Q Power BQC 16C 1.60GHz Custom                    IBM,98304,1073.3,1258.3,493,United Kingdom
224,Energy Company (D)United States,Apollo 6000 XL260a Intel Xeon Phi 7230 64C 1.3GHz Infiniband EDR                    HPE,41600,1071.4,1730.6,,United States
225,Energy Company (D)United States,Apollo 6000 XL260a Intel Xeon Phi 7230 64C 1.3GHz Infiniband EDR                    HPE,41600,1071.4,1730.6,,United States
226,DOE/SC/Argonne National LaboratoryUnited States,BeBop - Cray CS400 Intel Xeon Phi 7230 64C 1.3GHz/Xeon E5-2695v4 Intel Omni-Path                    Cray Inc.,46720,1070.6,1750,,United States
227,NVIDIA CorporationUnited States,DGX SaturnV Volta - NVIDIA DGX-1 Volta36 Xeon E5-2698v4 20C 2.2GHz Infiniband EDR NVIDIA Tesla V100                    Nvidia,22440,1070,1819.8,97,United States
228,Internet CompanyChina,JD B1 - Lenovo x3650 Xeon E5-2683 v4  16C 2.1GHz 10G Ethernet                    Lenovo,63552,1064.3,2135.3,,China
229,AutomotiveUnited States,Cluster Platform 3000 BL460c Gen9 Xeon E5-2697v4 18C 2.3GHz Infiniband FDR                    HPE,39744,1061,1462.6,,United States
230,Service Provider TChina,Lenovo x3950 Intel Xeon E7-8860v4 18C 2.2GHz 10G Ethernet                    Lenovo,51840,1060.2,1824.8,,China
231,Service Provider TChina,Internet Company T Y1 - Lenovo RD450 Xeon E5-2680v4 14C 2.4GHz 10G Ethernet                    Lenovo,56000,1057.1,2150.4,,China
232,Louisiana Optical Network InitiativeUnited States,QB-2 - Dell C8220X Cluster Intel Xeon E5-2680v2  10C 2.8GHz Infiniband FDR NVIDIA K20x                    Dell EMC,23040,1052,1473.6,500,United States
233,US Army Research Laboratory (ARL)United States,Hellfire - SGI ICE XA Xeon E5-2699v4  22C 2.2GHz Infiniband EDR                    HPE,33088,1050.5,1164.7,433,United States
234,Commissariat a l'Energie Atomique (CEA)France,Tera-100 - Bull bullx super-node S6010/S6030                    Bull Atos Group,138368,1050,1254.5,4590,France
235,Internet Service AChina,Inspur SA5212H5 Xeon Platinum 8163 24C 2.5GHz NVIDIA Tesla P100 25G Ethernet                    Inspur,39520,1048,2014,,China
236,GovernmentChina,PDataSystem - Sugon I620 Xeon E5-2640v3 8C 2.6GHz 10G Ethernet                    Sugon,51200,1044,2129.9,960,China
237,Internet Service AChina,Inspur NF5280M Xeon E5-2682v4 16C 2.5GHz NVIDIA Tesla P100 25G Ethernet                    Inspur,24000,1042,2120,,China
238,Internet Service AChina,Inspur NF5280M Xeon E5-2682v4 16C 2.5GHz NVIDIA Tesla P100 25G Ethernet                    Inspur,24000,1042,2120,,China
239,Internet Service (B)China,Lenovo ThinkServer RD650 Xeon E5-2650v3 10C 2GHz 10G Ethernet                    Lenovo,100000,1038.4,3200,3750,China
240,Internet Service (B)China,Inspur SA5212M4 Xeon E5-2650v4 12C 2.2GHz 10G Ethernet                    Inspur,52800,1038,1858.6,,China
241,Internet Service (B)China,Inspur SA5212M4 Xeon E5-2650v4 12C 2.2GHz 10G Ethernet                    Inspur,52800,1038,1858.6,,China
242,Internet CompanyChina,datalearningsystem - Sugon W740 Xeon E5-2650v4 12C 2.2GHz NVIDIA Tesla P40 10G Ethernet                    Sugon,210000,1036,2112,750,China
243,MIT/Lincoln LaboratoryUnited States,TX-Green - S7200AP Cluster Intel Xeon Phi 7210 64C 1.3GHz Intel Omni-Path                    Dell EMC,41472,1032.8,1725.2,,United States
244,Internet Service AChina,Inspur SA5212H5 Xeon Platinum 8163 24C 2.5GHz NVIDIA Tesla P100 10G Ethernet                    Inspur,57600,1030,1908,,China
245,TU Dresden ZIHGermany,Taurus - bullx DLC 720 Xeon E5-2680v3 12C 2.5GHz Infiniband FDR                    Bull Atos Group,34656,1029.9,1386.2,582,Germany
246,Centre for High Performance ComputingSouth Africa,Lengau - PowerEdge C6320 Xeon E5-2690v3 12C 2.6GHz Infiniband FDR                    Dell EMC,32856,1029.3,1366.8,685,South Africa
247,Internet Service (B)China,Pdata-1 - Sugon I620 Xeon E5-2650v4 12C 2.2GHz 10G Ethernet                    Sugon,58800,1028,2069.8,735,China
248,Internet CompanyChina,PVideo-A - Sugon I620 Xeon E5-2620v3 6C 2.4GHz 10G Ethernet                    Sugon,54000,1026,2073.6,900,China
249,ROMEO HPC Center - Champagne-ArdenneFrance,Romeo - Bull Sequana X1125 Xeon Gold 6132 14C 2.6GHz Bull BXI 1.2 NVIDIA Tesla P100 NVLink                    Bull Atos Group,17640,1022,1484,127,France
250,Internet Service AChina,Inspur SA5212H5 Xeon E5-2682v4 16C 2.5GHz NVIDIA Tesla P100 25G Ethernet                    Inspur,27360,1021,2014,,China
251,Financial InstitutionUnited Kingdom,Apollo 2000 Xeon E5-2697v4 18C 2.3GHz 10G Ethernet                    HPE,46620,1020.5,1715.6,,United Kingdom
252,Financial InstitutionUnited Kingdom,Apollo 2000 Xeon E5-2697v4 18C 2.3GHz 10G Ethernet                    HPE,46620,1020.5,1715.6,,United Kingdom
253,Financial InstitutionUnited Kingdom,Apollo 2000 Xeon E5-2697v4 18C 2.3GHz 10G Ethernet                    HPE,46620,1020.5,1715.6,,United Kingdom
254,Research Institute for Information Technology Kyushu UniversityJapan,QUARTETTO - HA8000-tc HT210/PRIMERGY CX400 Cluster Xeon E5-2680 8C 2.700GHz Infiniband FDR NVIDIA K20/K20x Xeon Phi 5110P                    Hitachi/Fujitsu,222072,1018,1502.2,19431,Japan
255,Barcelona Supercomputing CenterSpain,MareNostrum P9 CTE - IBM Power System AC922 IBM POWER9 22C 3.1GHz Dual-rail Mellanox EDR Infiniband NVIDIA Tesla V100                    IBM,19440,1018,1485.5,86,Spain
256,Texas Advanced Computing Center/Univ. of TexasUnited States,Lonestar 5 - Cray XC40 Xeon E5-2690v3 12C 2.6GHz Aries interconnect                     Cray Inc.,30048,1017,1250,587,United States
257,Internet CompanyChina,IT-byte - Sugon TC6000 Xeon E5-2630v4 10C 2.2GHz 10G Ethernet                    Sugon,60000,1015,2112,750,China
258,Deutscher WetterdienstGermany,Cray XC40 Intel Xeon E5-2680v3 12C 2.5Ghz/Xeon E5-2695v4 18C 2.1GHz Aries interconnect                     Cray Inc.,34560,1014,1227.6,448,Germany
259,PCSS PoznanPoland,EAGLE - Huawei E9000 Blade Server Xeon E5-2697v3 14C 2.6GHz 56G Infiniband FDR                    Huawei Technologies Co. Ltd.,32984,1013.7,1372.1,550,Poland
260,Service Provider TChina,Lenovo ThinkServer RD650 Xeon E5-2670v3 12C 2.3GHz 10G Ethernet                    Lenovo,108000,1013.5,3974.4,3375,China
261,Software Company (M)United States,Cluster Platform DL360 Xeon E5-2673v3 12C 2.4GHz Infiniband FDR                    HPE,36720,1012,1410,,United States
262,Software Company (M)United States,Cluster Platform DL360 Xeon E5-2673v3 12C 2.4GHz Infiniband FDR                    HPE,36720,1012,1410,,United States
263,Academic Computer Centre in GdanskPoland,Tryton - HP ProLiant XL230a Gen9/Huawei RH1288/SOLAR 820 S5 Xeon E5-2670v3 12C 2.3GHz Infiniband                    Megatel/Action,38400,1010.9,1413.1,864,Poland
264,National Supercomputing Centre SingaporeSingapore,NSCC - PRIMERGY CX2550 M1 LC & CX2570 M1 LC Xeon E5-2690v3 12C 2.6GHz Infiniband EDR                    Fujitsu,30912,1010,1285.9,1159,Singapore
265,Dell EMC HPC Innovation labUnited States,Zenith - Dell C6420/C6320p Xeon Gold 6148 20C 2.4GHz/Xeon Phi 7290/7230/7210 Intel Omni-Path                    Dell EMC,24240,1007.9,1861.6,,United States
266,Service Provider TChina,Internet Company T X1 - Lenovo RD450 Xeon E5-2680v4 14C 2.4GHz 10G Ethernet                    Lenovo,53200,1005.5,2042.9,,China
267,Service Provider TChina,Internet Company T X2 - Lenovo RD450 Xeon E5-2680v4 14C 2.4GHz 10G Ethernet                    Lenovo,53200,1005.5,2042.9,,China
268,Internet Service AChina,Inspur SA5212H5 Xeon E5-2682v4 16C 2.5GHz NVIDIA Tesla P100 25G Ethernet                    Inspur,26208,1004,1929.2,,China
269,Internet Service AChina,Inspur SA5212H5 Xeon E5-2682v4 16C 2.5GHz NVIDIA Tesla P100 25G Ethernet                    Inspur,26208,1004,1929.2,,China
270,Internet Company AChina,S1 - ThinkSystem RD452 Xeon E5-2682v4 16C 2.5GHz NVIDIA Tesla P100 10G Ethernet                    Lenovo,23904,1001.7,1772.9,,China
271,Advanced Center for Computing and Communication RIKENJapan,Shoubu - ZettaScaler-1.6 Xeon E5-2618Lv3  8C 2.3GHz Infiniband FDR PEZY-SCnp                    PEZY Computing / Exascaler Inc.,1313280,1001,1533.5,150,Japan
272,NASA/Goddard Space Flight CenterUnited States,Discover SCU10 - Rackable Cluster Xeon E5-2697v3 14C 2.6GHz Infiniband FDR                    HPE,31248,1000.5,1299.9,2009,United States
273,HLRN at ZIB/Konrad Zuse-Zentrum BerlinGermany,Konrad - Cray XC40 Intel Xeon E5-2695v2/E5-2680v3 12C 2.4/2.5GHz Aries interconnect                     Cray Inc.,44928,991.5,1425.7,878,Germany
274,Internet CompanyChina,PVideo-B - Sugon I620 Xeon E5-2620v4 8C 2.1GHz 10G Ethernet                    Sugon,60000,990.7,2016,600,China
275,Advanced Center for Computing and Communication RIKENJapan,HOKUSAI GreatWave - Fujitsu PRIMEHPC FX100 SPARC64 XIfx  32C 1.98GHz Tofu interconnect 2                    Fujitsu,34560,989.6,1092.1,518,Japan
276,Meteorological Research Institute Japan Meteorological AgencyJapan,Fujitsu PRIMEHPC FX100 SPARC64 XIfx  32C 1.98GHz Tofu interconnect 2                    Fujitsu,34560,989.6,1092.1,518,Japan
277,Internet Service AChina,Inspur NF5280M Xeon E5-2682v4 16C 2.5GHz NVIDIA Tesla P100 25G Ethernet                    Inspur,21600,988.2,1908,,China
278,Internet Service AChina,Inspur SA5212M4 Xeon E5-2682v4 16C 2.5GHz 10G Ethernet                    Inspur,52800,986,2112,,China
279,Internet Service AChina,Inspur SA5212M4 Xeon E5-2682v4 16C 2.5GHz 10G Ethernet                    Inspur,52800,986,2112,,China
280,Internet Service (B)China,Sugon TC6000 Xeon E5-2640v3 8C 2.6GHz 10G Ethernet                    Sugon,48000,984.8,1996.8,1710,China
281,IPE-HPCChina,IPE-GPUv2 - HC2000 Cluster Xeon E5-2650v3 10C 2.3GHz Infiniband FDR NVIDIA Tesla K80                    Sugon,24800,981.2,1643.2,840,China
282,Purdue UniversityUnited States,Conte - Cluster Platform SL250s Gen8 Xeon E5-2670 8C 2.600GHz Infiniband FDR Intel Xeon Phi 5110P                    HPE,77520,976.8,1341.1,510,United States
283,Internet Service AChina,Inspur SA5212M4 Xeon E5-2682v4 16C 2.5GHz 10G Ethernet                    Inspur,51200,974,2048,,China
284,Internet Service AChina,Inspur SA5212M4 Xeon E5-2682v4 16C 2.5GHz 10G Ethernet                    Inspur,51200,974,2048,,China
285,Energy CompanyChina,Huawei X6800 V3 Xeon E5-2683 v4  16C 2.1GHz Infiniband EDR NVIDIA Tesla P100                    Huawei Technologies Co. Ltd.,34816,974,1906.7,344,China
286,Service Provider TChina,Lenovo RD550 Xeon E5-2660v4 14C 2GHz 10G Ethernet                    Lenovo,79520,972.1,2544.6,,China
287,National Institute of Advanced Industrial Science and TechnologyJapan,AIST AI Cloud - NEC 4U-8GPU Server Xeon E5-2630Lv4 10C 1.8GHz Infiniband EDR NVIDIA Tesla P100 SXM2                    NEC,23400,961,2148.8,76,Japan
288,IT Service Provider (L)China,Sugon I620 Xeon E5-2630v3 8C 2.4GHz 10G Ethernet                    Sugon,51200,960.3,1966.1,960,China
289,AWEUnited Kingdom,Spruce A - SGI ICE X Intel Xeon E5-2680v2  10C 2.8GHz Infiniband FDR                    HPE,44520,958.7,997.2,855,United Kingdom
290,Air Force Research LaboratoryUnited States,Lightning - Cray XC30 Intel Xeon E5-2697v2 12C 2.7GHz Aries interconnect                     Cray Inc.,56112,957.6,1212,1571,United States
291,Service Provider TChina,Lenovo ThinkServer RD650 Xeon E5-2660v3 10C 2.6GHz 10G Ethernet                    Lenovo,90000,954.7,3744,3375,China
292,Service Provider TChina,Lenovo ThinkServer RD650 Xeon E5-2660v3 10C 2.6GHz 10G Ethernet                    Lenovo,90000,954.7,3744,3375,China
293,Service Provider TChina,Internet Company T Z1 - Lenovo RD450 Xeon E5-2680v4 14C 2.4GHz 10G Ethernet                    Lenovo,50400,954.1,1935.4,,China
294, IT Service ProviderChina,netsystem - Sugon I620 Xeon E5-2680v4 14C 2.4GHz 10G Ethernet                    Sugon,50400,953.7,1935.4,720,China
295,UNINETT Sigma2 ASNorway,Fram - Lenovo NeXtScale nx360M5 Xeon E5-2683 v4  16C 2.1GHz Infiniband EDR                    Lenovo,32192,953.6,1081.7,,Norway
296,Service Provider TChina,Cluster Platform HP DL360 Gen9 Xeon E5-2670v3 12C 2.3GHz 10G Ethernet                    HPE,41832,951.7,1539.4,1394,China
297,AtosFrance,Sequana BXI - Bull Sequana X1000 Intel Xeon Phi 7250 68C 1.4GHz Bull BXI 1.2                    Bull Atos Group,35360,947.9,1584.1,212,France
298,Internet CompanyChina,Sugon TC6000 Xeon E5-2620v3 6C 2.4GHz 10G Ethernet                    Sugon,50400,946.8,1935.4,1965,China
299,Internet Service AChina,Inspur SA5212H5 Xeon E5-2682v4 16C 2.5GHz NVIDIA Tesla P100 25G Ethernet                    Inspur,21600,944.2,1908,,China
300,Internet Service AChina,Inspur SA5212H5 Xeon E5-2682v4 16C 2.5GHz NVIDIA Tesla P100 25G Ethernet                    Inspur,21600,944.2,1908,,China
301,EDFFrance,Eole - Intel Cluster Xeon E5-2680v4 14C 2.4GHz Intel Omni-Path                    Bull Atos Group,29568,942.8,1135.4,421,France
302,GovernmentChina,HPC_Cluster - Sugon TC6000 Xeon E5-2680v3 12C 2.5GHz 10G Ethernet                    Sugon,48000,942.4,1920,800,China
303,Service Provider TChina,Internet Company T FF1 - Lenovo HR650x Xeon Gold 6133 20C 2.5GHz 25G Ethernet                    Lenovo,21120,940.4,1689.6,,China
